"trialNr","nwords","stim_file","trialID","taskVersion","aoi","aoiInfo_wordPosition","aoiInfo_word","aoiInfo_nchar","aoiInfo_freq","aoiInfo_pred","aoiInfo_lum_norm","aoiInfo_simBOLD_res","aoiInfo_OLD20"
1,7,"Den Ton gab der Künstler seinem Gehilfen. ","ID_1_7","v1","[[142.5,186.5,384,384],[186.5,230.5,384,384],[230.5,274.5,384,384],[274.5,373.5,384,384],[373.5,450.5,384,384],[450.5,555,384,384]]","[2,3,4,5,6,7]","[""Ton"",""gab"",""der"",""Künstler"",""seinem"",""Gehilfen""]","[3,3,3,8,6,9]","[2.8645,3.8526,5.3728,2.7202,3.7476,1.3617]","[0,0.0833,0.7262,0.0119,0,0.0357]","[139.2797,155.3111,134.7281,129.5892,132.415,121.9826]","[""NA"",""NA"",""NA"",0.5774,0.2119,0.4563]","[1,1,1,2,1.05,2.2]"
2,8,"Der Hof lag weit außerhalb des eigentlichen Dorfes. ","ID_2_8","v1","[[142.5,186.5,384,384],[186.5,230.5,384,384],[230.5,285.5,384,384],[285.5,395.5,384,384],[395.5,439.5,384,384],[439.5,582.5,384,384],[582.5,665,384,384]]","[2,3,4,5,6,7,8]","[""Hof"",""lag"",""weit"",""außerhalb"",""des"",""eigentlichen"",""Dorfes""]","[3,3,4,9,3,12,7]","[2.6758,3.1119,3.8172,2.9128,4.4516,1.8573,2]","[0,0,0.0588,0.0235,0.4824,0.0118,0.3412]","[147.4562,137.932,123.8902,134.9847,141.3124,127.8359,118.6689]","[""NA"",""NA"",""NA"",0.8656,""NA"",0.0335,0.8162]","[1,1,1,2.6,1,2,1.8]"
3,10,"Die Wanderer sahen Rehe auf einer Lichtung im Wald äsen. ","ID_3_10","v1","[[142.5,241.5,384,384],[241.5,307.5,384,384],[307.5,362.5,384,384],[362.5,406.5,384,384],[406.5,472.5,384,384],[472.5,571.5,384,384],[571.5,604.5,384,384],[604.5,659.5,384,384],[659.5,720,384,384]]","[2,3,4,5,6,7,8,9,10]","[""Wanderer"",""sahen"",""Rehe"",""auf"",""einer"",""Lichtung"",""im"",""Wald"",""äsen""]","[8,5,4,3,5,8,2,4,5]","[1.7324,3.0149,1.3802,5.1189,4.4945,1.4771,4.7586,3.0917,0]","[0,0.0118,0,0.1647,0.0588,0.2588,0.1412,0.8118,0.1765]","[134.7495,135.3984,148.4735,140.6131,121.0494,131.6123,135.8078,144.098,115.9129]","[0.2922,0.3663,""NA"",""NA"",0.2879,0.4011,""NA"",""NA"",0.6242]","[1.7,1.15,1,1,1,1.8,1,1,1.6]"
4,10,"Den Kopf hieb man früher nur Mördern und Verrätern ab. ","ID_4_10","v1","[[142.5,197.5,384,384],[197.5,252.5,384,384],[252.5,296.5,384,384],[296.5,373.5,384,384],[373.5,417.5,384,384],[417.5,505.5,384,384],[505.5,549.5,384,384],[549.5,659.5,384,384],[659.5,698,384,384]]","[2,3,4,5,6,7,8,9,10]","[""Kopf"",""hieb"",""man"",""früher"",""nur"",""Mördern"",""und"",""Verrätern"",""ab""]","[4,4,3,6,3,7,3,9,3]","[3.9105,0.7782,4.6026,3.4797,4.9071,1.6902,5.4068,1.6021,4.2118]","[0,0,0.0824,0.0118,0,0,0.0471,0.0588,0.9647]","[150.7402,137.1069,144.6941,128.768,121.1477,140.2605,140.6863,124.7765,109.7595]","[""NA"",""NA"",""NA"",0.3121,""NA"",0.1108,""NA"",0.3068,""NA""]","[1.05,1.2,1,1.4,1,1.6,1,2.25,1]"
5,8,"Vorne am Bug sah man eine prächtige Galionsfigur. ","ID_5_8","v1","[[164.5,197.5,384,384],[197.5,241.5,384,384],[241.5,285.5,384,384],[285.5,329.5,384,384],[329.5,384.5,384,384],[384.5,494.5,384,384],[494.5,643,384,384]]","[2,3,4,5,6,7,8]","[""am"",""Bug"",""sah"",""man"",""eine"",""prächtige"",""Galionsfigur""]","[2,3,3,3,4,9,13]","[4.3613,1.959,3.7448,4.6026,5.0745,1.5682,0.7782]","[0.1765,0.0824,0,0.3529,0.2,0,0.0706]","[150.3843,160.6209,137.4431,144.6941,124.5343,136.1054,121.0431]","[""NA"",""NA"",""NA"",""NA"",""NA"",0.2299,0.5805]","[1,1,1,1,1,1.65,5.1]"
6,7,"Sogar aus Raps läßt sich Kraftstoff herstellen. ","ID_6_7","v1","[[164.5,208.5,384,384],[208.5,263.5,384,384],[263.5,318.5,384,384],[318.5,373.5,384,384],[373.5,494.5,384,384],[494.5,621,384,384]]","[2,3,4,5,6,7]","[""aus"",""Raps"",""läßt"",""sich"",""Kraftstoff"",""herstellen""]","[3,4,4,4,10,11]","[4.8285,0.9031,3.6696,4.9203,0.699,2.3747]","[0,0,0.0353,0.9059,0.0471,0.5529]","[127.0536,152.0578,135.5824,134.2902,128.7043,116.8784]","[""NA"",""NA"",""NA"",""NA"",0.671,0.0942]","[1,1.15,1.5,1,3.5,1.8]"
7,8,"Torsten beobachtete gestern eine Maus, die Efeu fraß. ","ID_7_8","v1","[[186.5,318.5,384,384],[318.5,406.5,384,384],[406.5,461.5,384,384],[461.5,527.5,384,384],[527.5,571.5,384,384],[571.5,626.5,384,384],[626.5,687,384,384]]","[2,3,4,5,6,7,8]","[""beobachtete"",""gestern"",""eine"",""Maus"",""die"",""Efeu"",""fraß""]","[11,7,4,5,3,4,5]","[1.9031,3.5715,5.0745,2.4265,5.5136,1,1.4914]","[0,0.1047,0.0698,0,0.7442,0,0.3953]","[134.3102,131.3608,124.5343,121.5529,133.0667,140.3,114.6353]","[0.1007,0.1276,""NA"",0.5923,""NA"",""NA"",0.9606]","[2.3,1.35,1,1,1,1.95,1.4]"
8,9,"Der schüchterne kleine Gnom mied die Nähe der Elfen. ","ID_8_9","v1","[[142.5,274.5,384,384],[274.5,351.5,384,384],[351.5,406.5,384,384],[406.5,461.5,384,384],[461.5,505.5,384,384],[505.5,560.5,384,384],[560.5,604.5,384,384],[604.5,676,384,384]]","[2,3,4,5,6,7,8,9]","[""schüchterne"",""kleine"",""Gnom"",""mied"",""die"",""Nähe"",""der"",""Elfen""]","[11,6,4,4,3,4,3,6]","[1.1461,3.7505,1.1761,0.8451,5.5136,3.3516,5.3728,1.8513]","[0,0.0118,0.0118,0.0118,0.5529,0,0.6588,0.0118]","[130.005,126.3333,150.1176,142.1725,133.0667,155.7196,134.7281,119.5595]","[0.2365,0.2119,""NA"",""NA"",""NA"",""NA"",""NA"",0.9849]","[2,1.35,1.75,1.05,1,1.2,1,1.7]"
9,9,"Claudia hatte ihr Fahrrad auf der Straße stehen lassen. ","ID_9_9","v1","[[186.5,252.5,384,384],[252.5,296.5,384,384],[296.5,384.5,384,384],[384.5,428.5,384,384],[428.5,472.5,384,384],[472.5,549.5,384,384],[549.5,626.5,384,384],[626.5,709,384,384]]","[2,3,4,5,6,7,8,9]","[""hatte"",""ihr"",""Fahrrad"",""auf"",""der"",""Straße"",""stehen"",""lassen""]","[5,3,7,3,3,6,6,7]","[4.396,4.8321,2.5391,5.1189,5.3728,3.4493,3.7546,4.2199]","[0.0119,0,0.0476,0.0238,0.2024,0.6667,0.3452,0.7024]","[129.6235,121.1412,134.2258,140.6131,134.7281,136.785,132.119,113.6471]","[0.2879,""NA"",0.8792,""NA"",""NA"",0.8162,0.2448,0.144]","[1,1,2.35,1,1,1.5,1.2,1]"
10,11,"Wir hätten schon vor einer Stunde wissen sollen, ob ihr kommt. ","ID_10_11","v1","[[142.5,219.5,384,384],[219.5,285.5,384,384],[285.5,329.5,384,384],[329.5,395.5,384,384],[395.5,472.5,384,384],[472.5,549.5,384,384],[549.5,637.5,384,384],[637.5,670.5,384,384],[670.5,714.5,384,384],[714.5,786,384,384]]","[2,3,4,5,6,7,8,9,10,11]","[""hätten"",""schon"",""vor"",""einer"",""Stunde"",""wissen"",""sollen"",""ob"",""ihr"",""kommt""]","[6,5,3,5,6,6,7,2,3,6]","[3.756,4.8195,4.5422,4.4945,3.5637,4.3892,4.0093,4.1393,4.8321,4.2925]","[0,0.0119,0.0238,0.0714,0.1905,0,0.2169,0.0361,0.012,0.3253]","[133.4928,131.8863,133.7752,121.0494,139.5222,127.8248,110.619,144.5412,121.1412,128.4529]","[0.3121,0.479,""NA"",0.2879,0.4883,0.2039,0.144,""NA"",""NA"",0.365]","[1.35,1.05,1,1,1.55,1,1,1,1,1.1]"
